key,en
add,Add
body,Body
cancel,Cancel
choose,Choose
confirm,Confirm
country,Country
create,Create
created_on,Created On
csv_skills,"Separate skills with a comma"
delete,Delete
display,Display
edit,Edit
exp_level,Experience Level
exp_level_expert,Teacher
exp_level_high,Highly Proficient
exp_level_low,No Production
exp_level_mid,Rusty
exp_level_none,No Experience
github_url,Github Url
home,Home
home_body,"<p>Welcome to Maple.</p><p>Maple is a HR management tool, it tracks skills proficiencies and individual profiles</p>"
home_header,"Hello, Maple!"
image,Image
image_file_max_size,"File max size 10MB"
invite,Invite
key,Key
linked_in_url,LinkedIn Url
loading,Loading
name,Name
new,New
not_set,Not Set
one_per_line,One per line
org_confirm_delete_org,<p>Are you sure you want to delete the org <strong>{{Name}}</strong>?</p><p>This can not be undone.</p>
org_member_invite_email_html,"<p>Dear <strong>{{InviteeName}}</strong></p><p><strong>{{InvitedByName}}</strong> has invited you to join the org: <strong>{{OrgName}}</strong></p><p><a href=""{{BaseHref}}/verify_email?email={{Email}}&code={{Code}}"">Please click this link to verify your email address and join <strong>{{OrgName}}</strong></a></p>"
org_member_invite_email_subject,{{OrgName}} - Maple Skill Matrix Invite
org_member_invite_email_text,"Dear {{InviteeName}}

{{InvitedByName}} has invited you to join the org: {{OrgName}}

Please click this link to verify your email address and join {{OrgName}}:

{{BaseHref}}/verify_email?email={{Email}}&code={{Code}}"
org_member_new_org_member,New Member
org_member_role,Role
org_member_role_admin,Admin
org_member_role_owner,Owner
org_member_role_member,Member
org_member_update_org_member,Update Member
org_members,Members
org_my_orgs,My Orgs
org_name,Org Name
org_new_member,New Member
org_new_org,New Org
org_no_members,No Members
org_no_orgs,No Orgs
org_no_skills,No Skills
org_too_many,You are already a member of too many Orgs
org_update_member,Update Member
org_update_org,Update Org
org_your_country,Your Country
org_your_name,Your Name
proficiency_levels,Proficiency Levels
profile,Profile
profile_template,Profile Template
required,Required
skill,Skill
skills,Skills
string_validation,"Invalid string {{Name}}, Min {{Min}}, Max {{Max}}, Regexes {{Regexes}}"
title,Title
afghanistan,"Afghanistan"
albania,"Albania"
algeria,"Algeria"
andorra,"Andorra"
angola,"Angola"
antigua_and_barbuda,"Antigua and Barbuda"
argentina,"Argentina"
armenia,"Armenia"
australia,"Australia"
austria,"Austria"
azerbaijan,"Azerbaijan"
bahamas,"Bahamas"
bahrain,"Bahrain"
bangladesh,"Bangladesh"
barbados,"Barbados"
belarus,"Belarus"
belgium,"Belgium"
belize,"Belize"
benin,"Benin"
bhutan,"Bhutan"
bolivia,"Bolivia"
bosnia_and_herzegovina,"Bosnia and Herzegovina"
botswana,"Botswana"
brazil,"Brazil"
brunei,"Brunei"
bulgaria,"Bulgaria"
burkina_faso,"Burkina Faso"
burundi,"Burundi"
cabo_verde,"Cabo Verde"
cambodia,"Cambodia"
cameroon,"Cameroon"
canada,"Canada"
central_african_republic,"Central African Republic"
chad,"Chad"
chile,"Chile"
china,"China"
colombia,"Colombia"
comoros,"Comoros"
congo,"Congo"
costa_rica,"Costa Rica"
croatia,"Croatia"
cuba,"Cuba"
cyprus,"Cyprus"
czech_republic_czechia,"Czech Republic (Czechia)"
cote_d_ivoire,"C̫te d'Ivoire"
denmark,"Denmark"
djibouti,"Djibouti"
dominica,"Dominica"
dominican_republic,"Dominican Republic"
dr_congo,"DR Congo"
ecuador,"Ecuador"
egypt,"Egypt"
el_salvador,"El Salvador"
equatorial_guinea,"Equatorial Guinea"
eritrea,"Eritrea"
estonia,"Estonia"
eswatini,"Eswatini"
ethiopia,"Ethiopia"
fiji,"Fiji"
finland,"Finland"
france,"France"
gabon,"Gabon"
gambia,"Gambia"
georgia,"Georgia"
germany,"Germany"
ghana,"Ghana"
greece,"Greece"
grenada,"Grenada"
guatemala,"Guatemala"
guinea,"Guinea"
guinea_bissau,"Guinea-Bissau"
guyana,"Guyana"
haiti,"Haiti"
holy_see,"Holy See"
honduras,"Honduras"
hungary,"Hungary"
iceland,"Iceland"
india,"India"
indonesia,"Indonesia"
iran,"Iran"
iraq,"Iraq"
ireland,"Ireland"
israel,"Israel"
italy,"Italy"
jamaica,"Jamaica"
japan,"Japan"
jordan,"Jordan"
kazakhstan,"Kazakhstan"
kenya,"Kenya"
kiribati,"Kiribati"
kuwait,"Kuwait"
kyrgyzstan,"Kyrgyzstan"
laos,"Laos"
latvia,"Latvia"
lebanon,"Lebanon"
lesotho,"Lesotho"
liberia,"Liberia"
libya,"Libya"
liechtenstein,"Liechtenstein"
lithuania,"Lithuania"
luxembourg,"Luxembourg"
madagascar,"Madagascar"
malawi,"Malawi"
malaysia,"Malaysia"
maldives,"Maldives"
mali,"Mali"
malta,"Malta"
marshall_islands,"Marshall Islands"
mauritania,"Mauritania"
mauritius,"Mauritius"
mexico,"Mexico"
micronesia,"Micronesia"
moldova,"Moldova"
monaco,"Monaco"
mongolia,"Mongolia"
montenegro,"Montenegro"
morocco,"Morocco"
mozambique,"Mozambique"
myanmar,"Myanmar"
namibia,"Namibia"
nauru,"Nauru"
nepal,"Nepal"
netherlands,"Netherlands"
new_zealand,"New Zealand"
nicaragua,"Nicaragua"
niger,"Niger"
nigeria,"Nigeria"
north_korea,"North Korea"
north_macedonia,"North Macedonia"
norway,"Norway"
oman,"Oman"
pakistan,"Pakistan"
palau,"Palau"
panama,"Panama"
papua_new_guinea,"Papua New Guinea"
paraguay,"Paraguay"
peru,"Peru"
philippines,"Philippines"
poland,"Poland"
portugal,"Portugal"
qatar,"Qatar"
romania,"Romania"
russia,"Russia"
rwanda,"Rwanda"
saint_kitts_and_nevis,"Saint Kitts & Nevis"
saint_lucia,"Saint Lucia"
samoa,"Samoa"
san_marino,"San Marino"
sao_tome_and_principe,"Sao Tome & Principe"
saudi_arabia,"Saudi Arabia"
senegal,"Senegal"
serbia,"Serbia"
seychelles,"Seychelles"
sierra_leone,"Sierra Leone"
singapore,"Singapore"
slovakia,"Slovakia"
slovenia,"Slovenia"
solomon_islands,"Solomon Islands"
somalia,"Somalia"
south_africa,"South Africa"
south_korea,"South Korea"
south_sudan,"South Sudan"
spain,"Spain"
sri_lanka,"Sri Lanka"
st_vincent_and_grenadines,"St. Vincent & Grenadines"
state_of_palestine,"State of Palestine"
sudan,"Sudan"
suriname,"Suriname"
sweden,"Sweden"
switzerland,"Switzerland"
syria,"Syria"
tajikistan,"Tajikistan"
tanzania,"Tanzania"
thailand,"Thailand"
timor_leste,"Timor-Leste"
togo,"Togo"
tonga,"Tonga"
trinidad_and_tobago,"Trinidad and Tobago"
tunisia,"Tunisia"
turkey,"Turkey"
turkmenistan,"Turkmenistan"
tuvalu,"Tuvalu"
uganda,"Uganda"
ukraine,"Ukraine"
united_arab_emirates,"United Arab Emirates"
united_kingdom,"United Kingdom"
united_states,"United States"
uruguay,"Uruguay"
uzbekistan,"Uzbekistan"
vanuatu,"Vanuatu"
venezuela,"Venezuela"
vietnam,"Vietnam"
yemen,"Yemen"
zambia,"Zambia"
zimbabwe,"Zimbabwe"